iter	Passed	Remaining
411	3573	5099
412	3574	5081
413	3576	5062
414	3578	5044
415	3580	5026
416	3582	5008
417	3584	4990
418	3585	4972
419	3587	4953
420	3589	4936
421	3591	4919
422	3594	4903
423	3596	4886
424	3598	4868
425	3599	4850
426	3601	4832
427	3603	4815
428	3605	4799
429	3607	4782
430	3612	4768
431	3613	4751
432	3615	4734
433	3617	4717
434	3619	4700
435	3620	4683
436	3622	4667
437	3626	4653
438	3628	4636
439	3629	4619
440	3631	4602
441	3633	4586
442	3635	4570
443	3636	4553
444	3638	4537
445	3641	4522
446	3642	4506
447	3644	4490
448	3646	4474
449	3647	4458
450	3649	4442
451	3650	4426
452	3652	4410
453	3654	4394
454	3656	4379
455	3658	4364
456	3659	4348
457	3661	4333
458	3663	4317
459	3665	4302
460	3667	4287
461	3670	4274
462	3671	4258
463	3673	4243
464	3679	4233
465	3681	4219
466	3685	4206
467	3688	4192
468	3690	4178
469	3691	4162
470	3693	4148
471	3695	4133
472	3696	4118
473	3697	4103
474	3701	4091
475	3702	4076
476	3705	4062
477	3707	4048
478	3711	4036
479	3715	4025
480	3718	4012
481	3720	3998
482	3722	3984
483	3724	3970
484	3726	3957
485	3731	3946
486	3734	3933
487	3736	3919
488	3737	3905
489	3739	3891
490	3742	3879
491	3746	3868
492	3748	3855
493	3750	3841
494	3752	3828
495	3754	3814
496	3756	3801
497	3757	3787
498	3763	3778
499	3765	3765
500	3768	3753
501	3770	3740
502	3772	3727
503	3777	3717
504	3779	3704
505	3781	3692
506	3784	3679
507	3787	3667
508	3791	3657
509	3795	3646
510	3797	3634
511	3799	3621
512	3801	3608
513	3803	3596
514	3809	3587
515	3810	3574
516	3815	3564
517	3817	3552
518	3823	3543
519	3827	3532
520	3828	3519
521	3829	3506
522	3832	3495
523	3834	3483
524	3840	3474
525	3842	3462
526	3844	3450
527	3848	3440
528	3850	3428
529	3853	3416
530	3855	3405
531	3857	3393
532	3859	3381
533	3860	3369
534	3862	3357
535	3864	3345
536	3869	3336
537	3873	3326
538	3874	3314
539	3876	3302
540	3880	3292
541	3881	3280
542	3885	3269
543	3886	3258
544	3888	3246
545	3890	3234
546	3891	3223
547	3893	3211
548	3894	3199
549	3898	3189
550	3900	3178
551	3901	3166
552	3905	3156
553	3907	3145
554	3908	3133
555	3910	3123
556	3915	3113
557	3917	3103
558	3919	3091
559	3920	3080
560	3922	3069
561	3923	3057
562	3926	3047
563	3932	3040
564	3934	3029
565	3938	3019
566	3940	3009
567	3945	3000
568	3948	2990
569	3950	2979
570	3952	2969
571	3954	2958
572	3955	2947
573	3956	2936
574	3961	2928
575	3963	2917
576	3964	2906
577	3966	2896
578	3968	2885
579	3970	2875
580	3977	2868
581	3980	2859
582	3982	2848
583	3984	2838
584	3985	2827
585	3987	2817
586	3990	2807
587	3991	2796
588	3993	2786
589	3996	2776
590	3997	2766
591	4003	2758
592	4004	2748
593	4007	2739
594	4009	2729
595	4011	2719
596	4013	2709
597	4016	2699
598	4018	2689
599	4021	2681
600	4023	2671
601	4025	2661
602	4029	2653
603	4031	2643
604	4034	2633
605	4036	2624
606	4041	2616
607	4048	2610
608	4049	2600
609	4051	2590
610	4053	2580
611	4057	2572
612	4064	2565
613	4065	2556
614	4068	2547
615	4071	2537
616	4072	2528
617	4080	2522
618	4082	2513
619	4084	2503
620	4087	2494
621	4089	2485
622	4093	2477
623	4095	2468
624	4097	2458
625	4099	2449
626	4102	2440
627	4110	2434
628	4111	2425
629	4115	2416
630	4118	2408
631	4125	2402
632	4127	2392
633	4129	2383
634	4131	2374
635	4133	2365
636	4139	2358
637	4142	2350
638	4144	2341
639	4145	2332
640	4148	2323
641	4150	2314
642	4152	2305
643	4153	2296
644	4155	2287
645	4157	2278
646	4158	2269
647	4163	2261
648	4167	2254
649	4170	2245
650	4172	2236
651	4173	2227
652	4176	2219
653	4178	2210
654	4183	2203
655	4185	2194
656	4187	2186
657	4192	2179
658	4194	2170
659	4203	2165
660	4206	2157
661	4208	2148
662	4215	2142
663	4218	2134
664	4220	2126
665	4222	2117
666	4226	2109
667	4232	2103
668	4234	2094
669	4236	2086
670	4238	2078
671	4239	2069
672	4241	2060
673	4248	2054
674	4250	2046
675	4252	2038
676	4254	2029
677	4256	2021
678	4259	2013
679	4265	2007
680	4266	1998
681	4268	1990
682	4272	1982
683	4280	1977
684	4282	1969
685	4284	1961
686	4286	1952
687	4287	1944
688	4293	1938
689	4295	1929
690	4296	1921
691	4297	1912
692	4299	1904
693	4300	1896
694	4302	1888
695	4307	1881
696	4308	1873
697	4310	1865
698	4312	1856
699	4313	1848
700	4314	1840
701	4316	1832
702	4317	1824
703	4319	1815
704	4322	1808
705	4323	1800
706	4325	1792
707	4326	1784
708	4328	1776
709	4329	1768
710	4330	1760
711	4334	1753
712	4335	1745
713	4337	1737
714	4338	1729
715	4339	1721
716	4340	1713
717	4342	1705
718	4343	1697
719	4344	1689
720	4346	1681
721	4349	1674
722	4350	1666
723	4352	1659
724	4353	1651
725	4355	1643
726	4356	1635
727	4357	1628
728	4359	1620
729	4361	1612
730	4364	1606
731	4365	1598
732	4367	1590
733	4368	1583
734	4369	1575
735	4371	1567
736	4372	1560
737	4373	1552
738	4375	1545
739	4376	1537
740	4379	1530
741	4381	1523
742	4382	1515
743	4383	1508
744	4385	1500
745	4386	1493
746	4387	1486
747	4389	1478
748	4391	1471
749	4394	1464
750	4395	1457
751	4396	1450
752	4398	1442
753	4399	1435
754	4400	1428
755	4402	1420
756	4403	1413
757	4404	1406
758	4405	1398
759	4406	1391
760	4409	1384
761	4411	1377
762	4412	1370
763	4413	1363
764	4414	1356
765	4416	1349
766	4417	1341
767	4418	1334
768	4419	1327
769	4421	1320
770	4423	1313
771	4424	1306
772	4425	1299
773	4427	1292
774	4428	1285
775	4429	1278
776	4431	1271
777	4437	1266
778	4440	1259
779	4441	1252
780	4443	1245
781	4444	1239
782	4446	1232
783	4448	1225
784	4450	1218
785	4451	1212
786	4453	1205
787	4454	1198
788	4456	1191
789	4457	1184
790	4458	1178
791	4460	1171
792	4461	1164
793	4462	1157
794	4466	1151
795	4467	1144
796	4469	1138
797	4470	1131
798	4472	1125
799	4473	1118
800	4475	1111
801	4476	1105
802	4477	1098
803	4480	1092
804	4481	1085
805	4483	1079
806	4484	1072
807	4485	1065
808	4486	1059
809	4487	1052
810	4488	1046
811	4489	1039
812	4490	1032
813	4491	1026
814	4492	1019
815	4495	1013
816	4496	1007
817	4497	1000
818	4498	994
819	4500	987
820	4501	981
821	4502	974
822	4503	968
823	4504	962
824	4505	955
825	4506	949
826	4507	942
827	4510	936
828	4511	930
829	4512	924
830	4514	918
831	4515	911
832	4516	905
833	4517	899
834	4518	892
835	4519	886
836	4520	880
837	4521	874
838	4522	867
839	4526	862
840	4527	855
